1871,5.32
1872,5.36
1873,5.58
1874,5.47
1875,5.07
1876,4.59
1877,4.45
1878,4.34
1879,4.22
1880,4.02
1881,3.7
1882,3.62
1883,3.63
1884,3.62
1885,3.52
1886,3.37
1887,3.52
1888,3.67
1889,3.45
1890,3.42
1891,3.62
1892,3.6
1893,3.75
1894,3.7
1895,3.46
1896,3.6
1897,3.4
1898,3.35
1899,3.1
1900,3.15
1901,3.1
1902,3.18
1903,3.3
1904,3.4
1905,3.48
1906,3.43
1907,3.67
1908,3.87
1909,3.76
1910,3.91
1911,3.98
1912,4.01
1913,4.45
1914,4.16
1915,4.24
1916,4.05
1917,4.23
1918,4.57
1919,4.5
1920,4.97
1921,5.09
1922,4.3
1923,4.36
1924,4.06
1925,3.86
1926,3.68
1927,3.34
1928,3.33
1929,3.6
1930,3.29
1931,3.34
1932,3.68
1933,3.31
1934,3.12
1935,2.79
1936,2.65
1937,2.68
1938,2.56
1939,2.36
1940,2.21
1941,1.95
1942,2.46
1943,2.47
1944,2.48
1945,2.37
1946,2.19
1947,2.25
1948,2.44
1949,2.31
1950,2.32
1951,2.57
1952,2.68
1953,2.83
1954,2.48
1955,2.61
1956,2.9
1957,3.46
1958,3.09
1959,4.02
1960,4.72
1961,3.84
1962,4.08
1963,3.83
1964,4.17
1965,4.19
1966,4.61
1967,4.58
1968,5.53
1969,6.04
1970,7.79
1971,6.24
1972,5.95
1973,6.46
1974,6.99
1975,7.5
1976,7.74
1977,7.21
1978,7.96
1979,9.1
1980,10.8
1981,12.57
1982,14.59
1983,10.46
1984,11.67
1985,11.38
1986,9.19
1987,7.08
1988,8.67
1989,9.09
1990,8.21
1991,8.09
1992,7.03
1993,6.6
1994,5.75
1995,7.78
1996,5.65
1997,6.58
1998,5.54
1999,4.72
2000,6.66
2001,5.16
2002,5.04
2003,4.05
2004,4.15
2005,4.22
2006,4.42
2007,4.76
2008,3.74
2009,2.52
2010,3.73
2011,3.39
2012,1.97
2013,1.91
2014,2.86
2015,1.88
